"Player","Pos","Class","School","Conference","Season","Total"
"Vince Taylor","DL","FR","Vanderbilt","SEC",2011,1.3532
"Trevon Bierria","DB","SO","San Jose State","Mountain West",2017,1.3528
"Jonathan Lenard, Jr.","DB","FR","San Jose State","Mountain West",2017,1.3528
"Beanie Bishop","DB","FR","Western Kentucky","CUSA",2019,1.3525
"Kevis Jones","LB","FR","Wake Forest","ACC",2013,1.3524
"Edward Davis","LB","SO","Appalachian State","Sun Belt",2017,1.3523
"Jake Snyder","DL","SO","Virginia","ACC",2010,1.3522
"David Kafovalu","DL","SO","Oregon","Pac-12",2012,1.3519
"Christian French","DL","FR","Oregon","Pac-12",2012,1.3519
"Marcelino Ball","DB","SO","Indiana","Big Ten",2017,1.3519
"LeShaun Minor Jr.","DL","FR","Indiana","Big Ten",2017,1.3519
"Kee'yon Stewart","DB","FR","TCU","Big 12",2019,1.3515
"A.J. Finley","DB","FR","Ole Miss","SEC",2019,1.3514
"Shaq Smith","LB","FR","Clemson","ACC",2017,1.351
"Emmett Rice","LB","SO","Florida State","ACC",2017,1.3509
"Gabe Lemon","DB","FR","San Diego State","Mountain West",2010,1.3507
"Kelsey Collins","WR","JR","Arkansas State","Sun Belt",2013,1.3507
"Eli Canton","LB","JR","Troy","Sun Belt",2013,1.3507
"Donovan Wilson","DB","FR","Texas A&M","SEC",2014,1.3507
"Sean Huelskamp","LB","SO","Virginia Tech","ACC",2015,1.3506
"Justin Broiles","DB","FR","Oklahoma","Big 12",2018,1.3506
"Joseph Jones","LB","JR","Northwestern","Big Ten",2015,1.3505
"Sherman Coleman, Jr.","DB","JR","Fresno State","Mountain West",2017,1.3505
"Derek Thomas","DL","SO","Hawaii","Mountain West",2018,1.3504
"Jamal Woods","DL","SO","Illinois","Big Ten",2018,1.3501
"Oneil Robinson","DB","SO","Connecticut","American",2019,1.3501
"Caleb Day","DB","JR","Illinois","Big Ten",2015,1.3499
"David Harris","DL","JR","Air Force","Mountain West",2015,1.3496
"Desmond Kelly","DL","JR","Eastern Michigan","MAC",2018,1.3496
"LaDarrius Kidd","DL","SO","Louisiana","Sun Belt",2016,1.3489
"David Goldberg","LB","SR","Colorado","Pac-12",2011,1.3488
"Jamoral Graham","DB","SO","Mississippi State","SEC",2015,1.3487
"Grant Cunningham","DB","JR","Ohio","MAC",2016,1.3486
"Damani Staley","LB","SO","South Carolina","SEC",2018,1.3485
"Siale Hautau","DL","SR","Oregon State","Pac-12",2014,1.3482
"Dontavious Jackson","LB","FR","Florida State","ACC",2016,1.3482
"Kyree Campbell","DL","FR","Florida","SEC",2017,1.3482
"Kevin Greene","DL","JR","USC","Pac-12",2012,1.3481
"Dallas Crawford","RB","FR","Miami (FL)","ACC",2012,1.3473
"Vaughn Telemaque","DB","SR","Miami (FL)","ACC",2012,1.3473
"Wesley Scott","DL","SR","Buffalo","MAC",2018,1.3472
"Dan Kottman","DL","FR","San Diego State","Mountain West",2012,1.3468
"Corey Griffin","DB","SO","Georgia Tech","ACC",2015,1.3468
"Shannon Smith","DL","JR","Bowling Green","MAC",2016,1.3467
"Mason Harris","DL","JR","South Carolina","SEC",2014,1.3462
"Eric Martin","LB","SO","Nebraska","Big Ten",2010,1.346
"Carlos Watkins","DL","SO","Clemson","ACC",2014,1.3459
"David Pfaff","DL","JR","Wisconsin","Big Ten",2018,1.3458
"Javier Carbonell","DL","JR","Arkansas State","Sun Belt",2018,1.3457
"TJ Warren","DB","FR","Missouri","SEC",2016,1.3454
"Andre Brown Jr.","DB","SR","Indiana","Big Ten",2019,1.3454
"Deonte Holden","DL","SR","North Carolina State","ACC",2019,1.3454
"Anthony Johnson","DL","SR","Kent State","MAC",2016,1.3452
"Lucas Weber","LB","JR","Nevada","Mountain West",2017,1.3448
"Charles Clay","DB","JR","Hawaii","Mountain West",2012,1.3445
"Anthony Olobia","DL","SR","Kansas","Big 12",2016,1.3444
"P.J. Williams","DB","FR","Florida State","ACC",2012,1.3442
"Jusstis Warren","LB","SO","Washington","Pac-12",2017,1.3441
"Deonte Gibson","DL","FR","Northwestern","Big Ten",2012,1.344
"Kingsley Opara","DL","SO","Maryland","Big Ten",2015,1.344
"Milton Bugg III","DB","SO","Air Force","Mountain West",2018,1.344
"Michael Holmes","DL","JR","Charlotte","CUSA",2018,1.3437
"Chike Amajoyi","LB","SR","Stanford","Pac-10",2010,1.343
"Dwayne Williams","DB","SR","Oregon State","Pac-12",2018,1.3429
"Austin Gearing","DL","JR","Miami (OH)","MAC",2015,1.3428
"Kendric Smith","DL","SO","Ohio","MAC",2012,1.3426
"Quinton Bohanna","DL","FR","Kentucky","SEC",2017,1.3426
"Zac Stout","LB","FR","BYU","Mountain West",2010,1.3424
"Timothy Cole","LB","SR","Texas","Big 12",2016,1.3424
"Matthew Butler","DL","SO","Tennessee","SEC",2018,1.3422
"Teddrick McGhee","DB","SO","UTSA","CUSA",2018,1.3421
"Dietrich Riley","DB","FR","UCLA","Pac-10",2010,1.342
"Ngalu Tapa","DL","SO","Washington State","Pac-12",2016,1.342
"Adrian Hubbard","LB","FR","Alabama","SEC",2011,1.3417
"Marcus Smith","DL","JR","Texas Tech","Big 12",2014,1.3417
"Nicholas Sliger","DL","SR","Indiana","Big Ten",2012,1.3414
"Amir Riep","DB","FR","Ohio State","Big Ten",2017,1.3414
"Ramone Randle","DL","SR","Louisiana Tech","WAC",2010,1.3413
"Najee Johnson","DL","JR","UNLV","Mountain West",2014,1.3411
"Torry McTyer","DB","SO","UNLV","Mountain West",2014,1.3411
"Mason Wolk","DL","SO","Liberty","Independent",2019,1.341
"Tre Walker","LB","JR","Kansas State","Big 12",2012,1.3409
"Keion Adams","LB","FR","Western Michigan","MAC",2013,1.3407
"Sheriden Lawley","DL","JR","Connecticut","American",2017,1.3406
"Jireh Wilson","DB","FR","East Carolina","American",2019,1.3401
"Jon Reschke","LB","FR","Michigan State","Big Ten",2014,1.3399
"Marqueston Huff","DB","FR","Wyoming","Mountain West",2010,1.3395
"Spencer Williams","DL","SO","Missouri","SEC",2016,1.3395
"Josh Downs","DL","JR","LSU","SEC",2011,1.3391
"Antonio Carter","DB","SR","South Alabama","Sun Belt",2015,1.3391
"Derrek Upshaw","DL","FR","Middle Tennessee","Sun Belt",2010,1.339
"Ritisoni Fata","DL","SO","Utah State","Mountain West",2018,1.3389
"Deshun Williams","DL","JR","Texas State","WAC",2012,1.3387
"Christian LaCouture","DL","FR","LSU","SEC",2013,1.3387
"Daquan Newkirk","DL","JR","Auburn","SEC",2019,1.3387
"Nick Coe","LB","JR","Auburn","SEC",2019,1.3387
"Alexandro Antoine","DL","JR","Middle Tennessee","CUSA",2014,1.3385
"Ryan Dunn","LB","SR","San Diego State","Mountain West",2017,1.3384
"Nnamdi Oguayo","DL","JR","Washington State","Pac-12",2018,1.3382
"Nick Begg","DL","SR","Washington State","Pac-12",2018,1.3382
"Tyson Fernandez","DL","SR","Appalachian State","Sun Belt",2016,1.3381
"Tyler Ahles","LB","JR","Colorado","Big 12",2010,1.338
"Danny O'Brien","DL","FR","Tennessee","SEC",2013,1.338
"Nick McCann","DL","JR","Texas Tech","Big 12",2019,1.3378
"Gelen Robinson","LB","FR","Purdue","Big Ten",2014,1.3376
"Colby Gore","DB","SO","East Carolina","American",2017,1.3376
"Tim Hough","DB","SO","UNLV","Mountain West",2016,1.3372
"Michael Holmes","DL","SO","Charlotte","CUSA",2017,1.337
"Steven Campbell","DB","JR","Texas A&M","Big 12",2011,1.3366
"Josh Turner","DB","SO","FIU","CUSA",2019,1.3366
"Darius Copeland","DL","SR","Akron","MAC",2017,1.3361
"Boris Anyama","LB","JR","Louisiana","Sun Belt",2013,1.3359
"Merrick Jackson","DL","JR","Minnesota","Big Ten",2016,1.3359
"Kelly Griffin","DL","SR","TCU","Mountain West",2010,1.3358
"Jacoby Thomas","LB","JR","Troy","Sun Belt",2011,1.3358
"Kendrick Market","DB","SR","Mississippi State","SEC",2015,1.3358
"Mitch Huelsing","DB","SO","Memphis","CUSA",2010,1.3357
"Sean Stanley","DL","SO","Penn State","Big Ten",2010,1.3357
"Shannon Forman","DL","JR","Arizona State","Pac-12",2019,1.3357
"Kelvin Pinkney","DL","JR","USF","American",2019,1.3356
"Broc Westlake","LB","JR","Idaho","Sun Belt",2014,1.3354
"Obi Uzoma","LB","JR","Navy","Independent",2013,1.3351
"Irvin Charles","WR","SO","Penn State","Big Ten",2017,1.3349
"Josh Woods","LB","JR","UCLA","Pac-12",2017,1.3345
"Parker Hanusa","DL","JR","Rice","CUSA",2017,1.3343
"Tyler Johnson","DL","SR","Louisiana-Monroe","Sun Belt",2018,1.3343
"Mike Flowers","DL","JR","Navy","American",2019,1.3341
"Carter Bankston","LB","SR","Navy","American",2019,1.3341
"Dondrell Harris","DB","FR","Troy","Sun Belt",2014,1.334
"Alex Debniak","LB","JR","Stanford","Pac-10",2010,1.3339
"Titus Failauga","DL","SR","Oregon State","Pac-12",2017,1.3338
"Jake Funk","RB","FR","Maryland","Big Ten",2016,1.3337
"Noah Shannon","DL","FR","Iowa","Big Ten",2019,1.3337
"Jon Bateky","DL","SO","Rutgers","Big Ten",2016,1.3336
"Juan Monjarres","DL","FR","Tulane","American",2018,1.3335
"Dillon Quinn","DL","FR","Boston College","ACC",2010,1.3332
"Drew Davis","DL","SO","North Carolina State","ACC",2014,1.333
"Collin Dell","DL","JR","FAU","CUSA",2019,1.333
"Justinn Richardson","DB","SO","Old Dominion","CUSA",2019,1.333
"Hadari Darden","LB","JR","San Jose State","Mountain West",2019,1.3328
"Curtis Brooks","DL","FR","Cincinnati","American",2017,1.3327
"Antoine Lewis","DB","SO","Purdue","Big Ten",2012,1.3324
"Demetri Goodson","DB","SR","Baylor","Big 12",2012,1.3318
"Mitch Meador","DL","JR","Cincinnati","Big East",2012,1.3318
"Jace Whittaker","DB","FR","Arizona","Pac-12",2015,1.3318
"Dylan Parsee","LB","SR","UTEP","CUSA",2019,1.3318
"Tevin Holliman","DL","SO","Western Kentucky","Sun Belt",2011,1.3316
"Mark Crawford","DL","SR","Kentucky","SEC",2011,1.3315
"Josh Evans","DB","SO","Florida","SEC",2010,1.3314
"Darius White","DL","SO","Iowa State","Big 12",2014,1.331
"Zach Guiser","DB","SR","Akron","MAC",2017,1.3309
"Travon Simmons","DB","FR","East Carolina","American",2014,1.3306
"Tyrece Woods, Jr.","DL","FR","Buffalo","MAC",2019,1.3306
"Malik Manciel","DL","FR","Middle Tennessee","CUSA",2016,1.3305
"Kary Vincent Jr.","DB","FR","LSU","SEC",2017,1.3304
"John Williams","DL","SR","Central Michigan","MAC",2011,1.3303
"Curtis Porter","DL","SO","Miami (FL)","ACC",2011,1.3299
"Deshon Mayes","LB","JR","Colorado State","Mountain West",2016,1.3299
"Ross Winship","DL","JR","Rice","CUSA",2014,1.3298
"Rufus Porter","LB","SO","Louisiana Tech","WAC",2011,1.3297
"Brandon Martin","LB","FR","Ball State","MAC",2017,1.3297
"Anthony Switzer","DB","FR","Arkansas State","Sun Belt",2019,1.3295
"Kyler Brown","LB","SO","Duke","ACC",2013,1.3294
"Deonte Williams","DL","FR","Baylor","Big 12",2017,1.3294
"Henry Black","LB","SO","Baylor","Big 12",2017,1.3294
"Jack Fagot","DB","SO","Louisville","ACC",2019,1.3294
"Alii Matau","LB","SO","San Jose State","Mountain West",2018,1.3293
"Walden Davis","DB","SR","Southern Miss","CUSA",2018,1.3293
"Malcolm Edmond","DL","SR","Louisiana-Monroe","Sun Belt",2014,1.3292
"C.J. Bailey","DB","SR","Southern Miss","CUSA",2010,1.3291
"Darryl Lewis","DB","SO","Louisiana Tech","CUSA",2016,1.3291
"Johnny Williams","DB","SR","Duke","ACC",2011,1.329
"Tunde Bakare","LB","JR","Kansas","Big 12",2011,1.3289
"Ricky Bennett","DB","FR","New Mexico","Mountain West",2014,1.3289
"Brian Jackson","DB","SO","Oregon","Pac-12",2011,1.3287
"Manny Walker","DL","SO","Wake Forest","ACC",2018,1.3286
"Kylan Wilborn","LB","SO","Arizona","Pac-12",2018,1.3285
"Christian Whitehead","DB","SR","Idaho","Independent",2013,1.3284
"Damante Horton","DB","JR","Washington State","Pac-12",2012,1.3283
"Wayne Dorsey","DL","JR","Ole Miss","SEC",2010,1.3282
"Lewis Hill","DB","SO","New Mexico State","Independent",2013,1.3282
"Anthony Cook","DB","FR","Texas","Big 12",2018,1.328
"Justin Ademilola","DL","SO","Notre Dame","Independent",2019,1.328
"Dominic Baldwin","DL","SR","UNLV","Mountain West",2016,1.3278
"Jake Ellington","DL","SR","Army","Independent",2019,1.3278
"Jeff Luc","LB","SO","Florida State","ACC",2011,1.3276
"Malcolm Cook","LB","SR","Virginia","ACC",2018,1.3276
"Damon Lowe","LB","JR","Western Kentucky","CUSA",2019,1.3276
"Willie Williams","DB","JR","Eastern Michigan","MAC",2010,1.3274
"Zeno Choi","DL","SO","Hawaii","Mountain West",2016,1.3274
"Chris Love","DB","SR","East Carolina","American",2017,1.3274
"Kevin Wood","LB","FR","North Texas","CUSA",2019,1.3274
"Jalani Phillips","LB","SO","Purdue","Big Ten",2012,1.3271
"Brandon Matterson","DL","SO","UTSA","CUSA",2019,1.3268
"Todd Jones","LB","JR","Temple","American",2017,1.3265
"Devon Johnson","DL","SR","Charlotte","CUSA",2015,1.3264
"Trent Goens","DL","FR","Northwestern","Big Ten",2016,1.3262
"Jevon Neal","DB","SR","Old Dominion","CUSA",2014,1.3259
"Grant Watanabe","LB","FR","Colorado","Pac-12",2015,1.3259
"Jonathan Evans","LB","SO","Auburn","SEC",2010,1.3252
"Kris Gardner","LB","JR","TCU","Mountain West",2010,1.3251
"Robert Ash","DL","SO","Boise State","Mountain West",2013,1.3251
