"Player","Pos","Class","School","Conference","Season","Total"
"Manti Te'o","LB","SR","Notre Dame","Independent",2012,20.2729
"Mykal Walker","DL","JR","Fresno State","Mountain West",2018,19.0736
"Luq Barcoo","DB","SR","San Diego State","Mountain West",2019,16.2636
"Ben Burr-Kirven","LB","SR","Washington","Pac-12",2018,16.2483
"DeAngelo Malone","DL","JR","Western Kentucky","CUSA",2019,16.2222
"Khaseem Greene","LB","SR","Rutgers","Big East",2012,15.5401
"Luke Kuechly","LB","JR","Boston College","ACC",2011,15.129
"Malik Hooker","DB","SO","Ohio State","Big Ten",2016,15.0828
"Kurtis Drummond","DB","JR","Michigan State","Big Ten",2013,15.0101
"Joe Schobert","LB","SR","Wisconsin","Big Ten",2015,14.9486
"Kyle Van Noy","LB","JR","BYU","Independent",2012,14.9294
"Luke Kuechly","LB","SO","Boston College","ACC",2010,14.8303
"Courtney Upshaw","LB","SR","Alabama","SEC",2011,14.7737
"Dont'a Hightower","LB","JR","Alabama","SEC",2011,14.4995
"DeMarcus Walker","DL","JR","Florida State","ACC",2015,14.416
"Kentrell Brothers","LB","SR","Missouri","SEC",2015,14.3316
"Paul Dawson","LB","SR","TCU","Big 12",2014,14.3199
"Phillip Thomas","DB","SR","Fresno State","Mountain West",2012,14.1623
"Chase Young","DL","JR","Ohio State","Big Ten",2019,14.0626
"Marcus Davenport","DL","SR","UTSA","CUSA",2017,14.0191
"Evan Weaver","LB","SR","California","Pac-12",2019,13.9884
"Louis Nix III","DL","JR","Notre Dame","Independent",2012,13.8135
"Telvin Smith","LB","SR","Florida State","ACC",2013,13.7879
"C.J. Mosley","LB","JR","Alabama","SEC",2012,13.7235
"Jeffery Simmons","DL","JR","Mississippi State","SEC",2018,13.7207
"A.J. Epenesa","DL","JR","Iowa","Big Ten",2019,13.7103
"Kenny Willekes","DL","JR","Michigan State","Big Ten",2018,13.6942
"Jawuan Johnson","LB","JR","Northern Illinois","MAC",2017,13.6283
"DeShon Elliott","DB","JR","Texas","Big 12",2017,13.5951
"Muhammad Wilkerson","DL","JR","Temple","MAC",2010,13.5417
"Alijah Halliburton","DB","SR","Wyoming","Mountain West",2019,13.5144
"Kyahva Tezino","LB","SR","San Diego State","Mountain West",2019,13.485
"Damontre Moore","DL","JR","Texas A&M","SEC",2012,13.4576
"Andrew Rich","DB","SR","BYU","Mountain West",2010,13.4163
"Isaiah Simmons","LB","JR","Clemson","ACC",2019,13.4086
"Minkah Fitzpatrick","DB","SO","Alabama","SEC",2016,13.3803
"Richard LeCounte","DB","JR","Georgia","SEC",2019,13.3453
"Elijah Molden","DB","JR","Washington","Pac-12",2019,13.3084
"Logan Wilson","LB","SR","Wyoming","Mountain West",2019,13.2978
"Bruce Miller","DL","SR","UCF","CUSA",2010,13.2472
"Nikita Whitlock","DL","SR","Wake Forest","ACC",2013,13.2222
"Jessie Bates III","DB","FR","Wake Forest","ACC",2016,13.1673
"Danny Trevathan","LB","SR","Kentucky","SEC",2011,13.0484
"Mark Barron","DB","SR","Alabama","SEC",2011,13.0424
"T.J. Edwards","LB","JR","Wisconsin","Big Ten",2017,13.0314
"Harrison Phillips","DL","SR","Stanford","Pac-12",2017,13.0224
"Cornellius Carradine","DL","SR","Florida State","ACC",2012,13.0112
"Johnathan Abram","DB","SR","Mississippi State","SEC",2018,12.9062
"Raekwon Davis","DL","SO","Alabama","SEC",2017,12.8885
"Marcus Trice","DB","SR","North Texas","CUSA",2013,12.8832
"William Gholston","DL","JR","Michigan State","Big Ten",2012,12.873
"Josh Allen","LB","SR","Kentucky","SEC",2018,12.8673
"Bennett Jackson","DB","JR","Notre Dame","Independent",2012,12.8268
"Zach Vigil","LB","SR","Utah State","Mountain West",2014,12.8175
"Marcus Smith","DL","SR","Louisville","American",2013,12.7842
"Tyrann Mathieu","DB","SO","LSU","SEC",2011,12.7812
"Ronald Blair","DL","SR","Appalachian State","Sun Belt",2015,12.7622
"Ed Oliver","DL","FR","Houston","American",2016,12.7588
"Joey Bosa","DL","JR","Ohio State","Big Ten",2015,12.7425
"Anthoula Kelly","DB","SR","Fresno State","Mountain West",2018,12.7379
"Logan Ryan","DB","JR","Rutgers","Big East",2012,12.7372
"Colin Jones","DB","SR","TCU","Mountain West",2010,12.7169
"Whitney Mercilus","DL","JR","Illinois","Big Ten",2011,12.7058
"Stephon Tuitt","DL","SO","Notre Dame","Independent",2012,12.6952
"Kareem Martin","DL","SR","North Carolina","ACC",2013,12.6769
"DeVon Edwards","DB","SO","Duke","ACC",2014,12.6544
"Juan Thornhill","DB","SR","Virginia","ACC",2018,12.6287
"Zach Allen","DL","JR","Boston College","ACC",2017,12.6261
"Ed Oliver","DL","SO","Houston","American",2017,12.6183
"Harold Landry","DL","SO","Boston College","ACC",2015,12.5531
"Evan Weaver","LB","JR","California","Pac-12",2018,12.5453
"Elandon Roberts","LB","SR","Houston","American",2015,12.504
"Arden Key","DL","SO","LSU","SEC",2016,12.4705
"Matt Elam","DB","JR","Florida","SEC",2012,12.4656
"Stephen Johnson","LB","SR","Temple","MAC",2011,12.4614
"Chase Winovich","DL","SR","Michigan","Big Ten",2017,12.4057
"Xavier McKinney","DB","JR","Alabama","SEC",2019,12.3721
"Clelin Ferrell","DL","JR","Clemson","ACC",2018,12.3572
"Will Davis","DB","SR","Utah State","WAC",2012,12.3483
"Khalil Mack","LB","SR","Buffalo","MAC",2013,12.3294
"James Morris","LB","SR","Iowa","Big Ten",2013,12.3251
"Henry Anderson","DL","SR","Stanford","Pac-12",2014,12.3202
"Tyler Matakevich","LB","SR","Temple","American",2015,12.2902
"Damontae Kazee","DB","JR","San Diego State","Mountain West",2015,12.2701
"Jordan Kunaszyk","LB","SR","California","Pac-12",2018,12.2477
"Mike Edwards","DB","SR","Kentucky","SEC",2018,12.2315
"Da'Quan Bowers","DL","JR","Clemson","ACC",2010,12.2306
"Zack Baun","LB","SR","Wisconsin","Big Ten",2019,12.2212
"Ahmad Black","DB","SR","Florida","SEC",2010,12.1698
"Jonathan Allen","DL","SR","Alabama","SEC",2016,12.1678
"Chase Hansen","LB","SR","Utah","Pac-12",2018,12.1547
"Carl Granderson","DL","JR","Wyoming","Mountain West",2017,12.1515
"Maxx Crosby","DL","JR","Eastern Michigan","MAC",2018,12.1466
"Antoine Winfield Jr.","DB","SO","Minnesota","Big Ten",2019,12.1442
"Nick Bolton","LB","SO","Missouri","SEC",2019,12.1375
"Tejay Johnson","DB","SR","TCU","Mountain West",2010,12.1291
"Leighton Vander Esch","LB","JR","Boise State","Mountain West",2017,12.1145
"Charles Harris","DL","SO","Missouri","SEC",2015,12.11
"Clelin Ferrell","DL","SO","Clemson","ACC",2017,12.1096
"Isaiah Simmons","DB","SO","Clemson","ACC",2018,12.1066
"Rasul Douglas","DB","SR","West Virginia","Big Ten",2016,12.091
"Josey Jewell","LB","SR","Iowa","Big Ten",2017,12.0835
"Gerod Holliman","DB","SO","Louisville","ACC",2014,12.0734
"Chris Borland","LB","SO","Wisconsin","Big Ten",2011,12.0639
"Sutton Smith","DL","JR","Northern Illinois","MAC",2018,12.0257
"Andrew Wingard","DB","JR","Wyoming","Mountain West",2017,12.0185
"Josey Jewell","LB","SO","Iowa","Big Ten",2015,11.9967
"Dom DeCicco","DB","SR","Pittsburgh","Big East",2010,11.9757
"Darqueze Dennard","DB","SR","Michigan State","Big Ten",2013,11.9747
"Kapron Lewis-Moore","DL","SR","Notre Dame","Independent",2012,11.9717
"Scooby Wright III","LB","SO","Arizona","Pac-12",2014,11.9619
"Gerald Hodges","LB","SR","Penn State","Big Ten",2012,11.9426
"Owen Marecic","RB","SR","Stanford","Pac-10",2010,11.9227
"Sutton Smith","DL","SO","Northern Illinois","MAC",2017,11.9146
"Ryan Shazier","LB","SO","Ohio State","Big Ten",2012,11.9084
"Anthony Zettel","DL","JR","Penn State","Big Ten",2014,11.8941
"Anthony Walker","LB","SO","Northwestern","Big Ten",2015,11.8779
"Dele Harding","LB","SR","Illinois","Big Ten",2019,11.8732
"Ryan Mueller","DL","JR","Kansas State","Big 12",2013,11.8683
"Timmy Jernigan","DL","JR","Florida State","ACC",2013,11.8396
"Shilique Calhoun","DL","SO","Michigan State","Big Ten",2013,11.8391
"Calvin Pryor","DB","JR","Louisville","American",2013,11.8203
"Haason Reddick","DL","SR","Temple","American",2016,11.8087
"Leonard Williams","DL","JR","USC","Pac-12",2014,11.7525
"Bronson Kaufusi","DL","SR","BYU","Independent",2015,11.7498
"Vinny Curry","DL","JR","Marshall","CUSA",2010,11.7438
"Jeremy Cash","DB","JR","Duke","ACC",2014,11.7377
"Jordan Hill","DL","SR","Penn State","Big Ten",2012,11.7285
"J.J. Watt","DL","JR","Wisconsin","Big Ten",2010,11.7259
"Adrian Robinson","DL","SR","Temple","MAC",2011,11.7248
"Mike McCray","LB","SR","Michigan","Big Ten",2016,11.709
"Julian Miller","DL","JR","West Virginia","Big East",2010,11.6986
"Roquan Smith","LB","JR","Georgia","SEC",2017,11.6701
"Tremaine Edmunds","LB","JR","Virginia Tech","ACC",2017,11.6552
"Kenny Willekes","DL","SO","Michigan State","Big Ten",2017,11.6447
"Jeff Allison","LB","JR","Fresno State","Mountain West",2018,11.6439
"Aidan Hutchinson","DL","SO","Michigan","Big Ten",2019,11.6434
"Tariq Thompson","DB","JR","San Diego State","Mountain West",2019,11.6326
"Keith Tandy","DB","JR","West Virginia","Big East",2010,11.6303
"Greg Blair","LB","SR","Cincinnati","Big East",2012,11.6134
"Micah Hyde","DB","SO","Iowa","Big Ten",2010,11.5955
"Trevor Reilly","DL","SR","Utah","Pac-12",2013,11.5866
"Blake Martinez","LB","JR","Stanford","Pac-12",2014,11.5838
"Kevin Minter","LB","JR","LSU","SEC",2012,11.5801
"Khaseem Greene","DB","JR","Rutgers","Big East",2011,11.554
"Ja'Whaun Bentley","LB","SR","Purdue","Big Ten",2017,11.5528
"Jadeveon Clowney","DL","SO","South Carolina","SEC",2012,11.5523
"Solomon Thomas","DL","JR","Stanford","Pac-12",2016,11.5478
"Jake Doughty","LB","SR","Utah State","Mountain West",2013,11.5418
"Obi Melifonwu","DB","SR","Connecticut","American",2016,11.5134
"James Nachtigal","LB","SR","Army","Independent",2018,11.5092
"Chauncey Golston","DL","JR","Iowa","Big Ten",2019,11.4697
"Nate Orchard","DL","SR","Utah","Pac-12",2014,11.4629
"Jatavis Brown","LB","SR","Akron","MAC",2015,11.4542
"Danny Shelton","DL","SR","Washington","Pac-12",2014,11.4497
"Dwayne Johnson Jr.","DB","JR","San Diego State","Mountain West",2019,11.4451
"Harrison Smith","DB","SR","Notre Dame","Independent",2010,11.4391
"Micah Parsons","LB","SO","Penn State","Big Ten",2019,11.4109
"Clayton Fejedelem","DB","SR","Illinois","Big Ten",2015,11.4008
"Desmond King","DB","JR","Iowa","Big Ten",2015,11.383
"Alex Barrett","DL","JR","San Diego State","Mountain West",2015,11.3758
"Eric Kendricks","LB","SR","UCLA","Pac-12",2014,11.3681
"Danielle Hunter","DL","JR","LSU","SEC",2014,11.3525
"Josh Jackson","DB","JR","Iowa","Big Ten",2017,11.3521
"Max Bullough","LB","JR","Michigan State","Big Ten",2012,11.3504
"Jordan Richards","DB","SR","Stanford","Pac-12",2014,11.3384
"Denicos Allen","LB","SR","Michigan State","Big Ten",2013,11.3279
"Markus Golden","DL","SR","Missouri","SEC",2014,11.3181
"Jamal Davis II","DL","SR","Akron","MAC",2018,11.3147
"Paris Ford","DB","SO","Pittsburgh","ACC",2019,11.3071
"Ryan Shazier","LB","JR","Ohio State","Big Ten",2013,11.2915
"Jabaree Tuani","DL","JR","Navy","Independent",2010,11.273
"Adolphus Washington","DL","SR","Ohio State","Big Ten",2015,11.2665
"Robert Lester","DB","SO","Alabama","SEC",2010,11.245
"Tank Jakes","LB","SR","Memphis","American",2014,11.2383
"Preston Brown","LB","SR","Louisville","American",2013,11.2217
"Nick Vigil","LB","SO","Utah State","Mountain West",2014,11.1993
"Jaron Bryant","DB","SO","Fresno State","Mountain West",2017,11.1814
"Derek Barnett","DL","SO","Tennessee","SEC",2015,11.1453
"Reggie Floyd","DB","SO","Virginia Tech","ACC",2017,11.1353
"Hau'oli Kikaha","DL","JR","Washington","Pac-12",2013,11.134
"Johnthan Banks","DB","JR","Mississippi State","SEC",2011,11.1259
"Clifton Duck","DB","FR","Appalachian State","Sun Belt",2016,11.116
"Yawin Smallwood","LB","SO","Connecticut","Big East",2012,11.1122
"Jordan Evans","LB","SR","Oklahoma","Big 12",2016,11.1019
"Chase Winovich","DL","SR","Michigan","Big Ten",2018,11.1016
"Lamarcus Joyner","DB","SR","Florida State","ACC",2013,11.1002
"Mike Hull","LB","SR","Penn State","Big Ten",2014,11.0904
"Dorian O'Daniel","LB","SR","Clemson","ACC",2017,11.0881
"Senquez Golson","DB","SR","Ole Miss","SEC",2014,11.0606
"DeMarcus Walker","DL","SR","Florida State","ACC",2016,11.0552
"Antonio Allen","LB","SR","South Carolina","SEC",2011,11.0517
"Ryan Anderson","LB","SR","Alabama","SEC",2016,11.0514
"Brandon Snyder","DB","SO","Iowa","Big Ten",2016,11.0409
"Jaylon Ferguson","DL","SR","Louisiana Tech","CUSA",2018,11.0224
"Jackson Jeffcoat","DL","SR","Texas","Big 12",2013,11.0169
"Zach Cunningham","LB","SO","Vanderbilt","SEC",2015,11.0087
"Michael Mauti","LB","SR","Penn State","Big Ten",2012,11.0025
"Frankie Sutera","DB","SR","Utah State","Mountain West",2014,10.9997
"Chas Alecxih","DL","SR","Pittsburgh","Big East",2011,10.9824
"Mike Bell","DB","JR","Fresno State","Mountain West",2018,10.978
"DeJon Gomes","DB","SR","Nebraska","Big Ten",2010,10.9532
"DeQuan Menzie","DB","SR","Alabama","SEC",2011,10.9504
"Tyquan Lewis","DL","SO","Ohio State","Big Ten",2015,10.9221
"Akeem Davis-Gaither","LB","JR","Appalachian State","Sun Belt",2018,10.9218
"Calvin Munson","LB","JR","San Diego State","Mountain West",2015,10.9179
"Montez Sweat","DL","SR","Mississippi State","SEC",2018,10.9087
"Tanner McEvoy","DB","SR","Wisconsin","Big Ten",2015,10.9069
"Lavonte David","LB","JR","Nebraska","Big Ten",2010,10.9014
"Byron Murphy","DB","SO","Washington","Pac-12",2018,10.8976
"Michael Brockers","DL","SO","LSU","SEC",2011,10.8973
"Trey Flowers","DL","SR","Arkansas","SEC",2014,10.8879
"Leo Musso","DB","SR","Wisconsin","Big Ten",2016,10.8878
"Jabaal Sheard","DL","SR","Pittsburgh","Big East",2010,10.8797
"Fred Warner","LB","JR","BYU","Independent",2016,10.8759
"Landon Collins","DB","JR","Alabama","SEC",2014,10.8719
"Frank Alexander","DL","SR","Oklahoma","Big 12",2011,10.8681
"Winston Guy Jr.","DB","SR","Kentucky","SEC",2011,10.8566
"Lorenzo Mauldin","DL","JR","Louisville","American",2013,10.8564
"Khaleke Hudson","DB","SO","Michigan","Big Ten",2017,10.8541
"Andrew Hudson","DL","SR","Washington","Pac-12",2014,10.8524
"Zach Orr","LB","SR","North Texas","CUSA",2013,10.8455
"Aaron Donald","DL","JR","Pittsburgh","Big East",2012,10.8425
"Bradley Chubb","DL","SR","North Carolina State","ACC",2017,10.8403
"T.J. Watt","LB","JR","Wisconsin","Big Ten",2016,10.8399
"Julian Blackmon","DB","SR","Utah","Pac-12",2019,10.8371
"Thomas Barber","LB","SO","Minnesota","Big Ten",2017,10.8337
"Gerrand Johnson","DL","JR","Louisiana-Monroe","Sun Belt",2014,10.8332
"Kenny Willekes","DL","SR","Michigan State","Big Ten",2019,10.8249
"Ryan Kerrigan","DL","SR","Purdue","Big Ten",2010,10.8197
"Quinnen Williams","DL","SO","Alabama","SEC",2018,10.8192
"Andrew Motuapuaka","LB","SR","Virginia Tech","ACC",2017,10.8139
"B.J. Lowery","DB","SR","Iowa","Big Ten",2013,10.7943
"Trent Voss","DL","SR","Toledo","MAC",2015,10.7871
"Johnny Patrick","DB","SR","Louisville","Big East",2010,10.7857
"Amik Robertson","DB","JR","Louisiana Tech","CUSA",2019,10.7812
"Eddie Jackson","DB","JR","Alabama","SEC",2015,10.7802
"Jake Ryan","LB","SR","Michigan","Big Ten",2014,10.7724
"Richie Grant","DB","SO","UCF","American",2018,10.7665
"T.J. Edwards","LB","SO","Wisconsin","Big Ten",2016,10.7632
"Michael Caputo","DB","SR","Wisconsin","Big Ten",2015,10.7589
"Jeremy Beal","DL","SR","Oklahoma","Big 12",2010,10.7584
"Chris Woolbright","LB","SR","UAB","CUSA",2018,10.7527
"Brad Koenig","LB","SR","Miami (OH)","MAC",2018,10.7488
"Jaquan Johnson","DB","JR","Miami (FL)","ACC",2017,10.7431
"Andrew Adams","DB","SR","Connecticut","American",2015,10.7415
"Wayne Daniels","DL","SR","TCU","Mountain West",2010,10.7399
"Travis Johnson","DL","SR","San Jose State","WAC",2012,10.7354
"Aaron Donald","DL","SR","Pittsburgh","ACC",2013,10.72
"Brandon Jenkins","DL","SO","Florida State","ACC",2010,10.7179
"Josey Jewell","LB","JR","Iowa","Big Ten",2016,10.7154
"Khalil Hodge","LB","JR","Buffalo","MAC",2017,10.708
"Ed Reynolds","DB","JR","Stanford","Pac-12",2012,10.6959
"Cedric Reed","DL","JR","Texas","Big 12",2013,10.6929
"Alohi Gilman","DB","JR","Notre Dame","Independent",2018,10.6909
"Jason Hendricks","DB","JR","Pittsburgh","Big East",2012,10.6898
"Jimmie Ward","DB","SR","Northern Illinois","MAC",2013,10.6773
"Kemal Ishmael","DB","SR","UCF","CUSA",2012,10.6758
"Dontay Moch","DL","SR","Nevada","WAC",2010,10.6533
"Te'von Coney","LB","SR","Notre Dame","Independent",2018,10.647
"Cortez Broughton","DL","SR","Cincinnati","American",2018,10.6273
"Jarvis Jones","LB","JR","Georgia","SEC",2012,10.6197
"Derwin James","DB","FR","Florida State","ACC",2015,10.618
"T.J. Edwards","LB","SR","Wisconsin","Big Ten",2018,10.6111
"Takkarist McKinley","DL","SR","UCLA","Pac-12",2016,10.6095
"Zach Cunningham","LB","JR","Vanderbilt","SEC",2016,10.6022
"Tanner Brock","LB","SO","TCU","Mountain West",2010,10.601
"Gary Thompson","DL","JR","Marshall","CUSA",2015,10.5945
"Landon Collins","DB","SO","Alabama","SEC",2013,10.5903
"Tegray Scales","LB","JR","Indiana","Big Ten",2016,10.5841
"Jack Sanborn","LB","SO","Wisconsin","Big Ten",2019,10.5555
"Justin Simmons","DB","SR","Boston College","ACC",2015,10.5501
"Cameron Thomas","DL","FR","San Diego State","Mountain West",2019,10.53
"Kevin Kroboth","DB","SR","Temple","MAC",2011,10.5212
"Morris Claiborne","DB","JR","LSU","SEC",2011,10.5186
"Josh Evans","DB","SR","Florida","SEC",2012,10.5167
"Devin White","LB","SO","LSU","SEC",2017,10.511
"Marcel Spears Jr.","LB","SO","Iowa State","Big 12",2017,10.5039
"Demarcus Lawrence","DL","SO","Boise State","Mountain West",2012,10.4963
"C.J. Mosley","LB","FR","Alabama","SEC",2010,10.4909
"Juju Hughes","DB","JR","Fresno State","Mountain West",2018,10.4833
"Dadi Nicolas","DL","JR","Virginia Tech","ACC",2014,10.4781
"Dee Milliner","DB","JR","Alabama","SEC",2012,10.4723
"Ogbonnia Okoronkwo","DL","SR","Oklahoma","Big 12",2017,10.4716
"Dominick Sanders","DB","SO","Georgia","SEC",2015,10.4679
"Duke Ejiofor","DL","JR","Wake Forest","ACC",2016,10.4564
"Jourdan Lewis","DB","JR","Michigan","Big Ten",2015,10.4531
"Austin Johnson","DL","JR","Penn State","Big Ten",2015,10.4518
"Jordan Pierce","LB","SR","Air Force","Mountain West",2014,10.4446
"Jake Gervase","DB","SR","Iowa","Big Ten",2018,10.4408
"Brandon Lindsey","DL","JR","Pittsburgh","Big East",2010,10.4364
"Brandon Ogletree","LB","SR","BYU","Independent",2012,10.4324
"Jared Crick","DL","JR","Nebraska","Big Ten",2010,10.4281
"Davon Godchaux","DL","JR","LSU","SEC",2016,10.4231
"Joe Gaziano","DL","SR","Northwestern","Big Ten",2019,10.4107
"Godwin Igwebuike","DB","JR","Northwestern","Big Ten",2016,10.3975
"Trent Murphy","LB","SR","Stanford","Pac-12",2013,10.3946
"Chris Borland","LB","SR","Wisconsin","Big Ten",2013,10.3803
"Austin Bryant","DL","JR","Clemson","ACC",2017,10.3796
"Nate Meier","DL","SR","Iowa","Big Ten",2015,10.3748
"Kenny Tate","DB","JR","Maryland","ACC",2010,10.3696
"Mark Barron","DB","JR","Alabama","SEC",2010,10.3572
"Jeremy Reaves","DB","SR","South Alabama","Sun Belt",2017,10.357
"Ben Banogu","DL","SR","TCU","Big 12",2018,10.3523
"Harold Landry","DL","JR","Boston College","ACC",2016,10.3517
"Tariq Thompson","DB","FR","San Diego State","Mountain West",2017,10.3475
"Damarious Randall","DB","SR","Arizona State","Pac-12",2014,10.3454
"Robert Spillane","LB","JR","Western Michigan","MAC",2016,10.3447
"Jordan Williams","LB","SR","Baylor","Big 12",2019,10.342
"Bjoern Werner","DL","JR","Florida State","ACC",2012,10.34
"Zach Vigil","LB","JR","Utah State","Mountain West",2013,10.332
"Brian Rolle","LB","SR","Ohio State","Big Ten",2010,10.3305
"Erick Dargan","DB","SR","Oregon","Pac-12",2014,10.3244
"Myles Garrett","DL","SO","Texas A&M","SEC",2015,10.3127
"Keshawn Banks","DL","SO","San Diego State","Mountain West",2019,10.3094
"Mike Taylor","LB","SR","Wisconsin","Big Ten",2012,10.3079
"Blake Martinez","LB","SR","Stanford","Pac-12",2015,10.3041
"Daniel Sorensen","DB","JR","BYU","Independent",2012,10.2916
"Lavonte David","LB","SR","Nebraska","Big Ten",2011,10.2889
"Devon Still","DL","SR","Penn State","Big Ten",2011,10.2878
"Dee Milliner","DB","SO","Alabama","SEC",2011,10.2867
"Latrell Gibbs","DB","SO","Appalachian State","Sun Belt",2015,10.2775
"Dallas Lloyd","DB","SR","Stanford","Pac-12",2016,10.2758
"Adrien Cole","LB","SR","Louisiana Tech","WAC",2011,10.2742
"Kristopher Moll","LB","JR","UAB","CUSA",2019,10.2603
"Clayton Geathers","DB","JR","UCF","American",2013,10.2579
"Shane Ray","DL","JR","Missouri","SEC",2014,10.257
"Calvin Munson","LB","SO","San Diego State","Mountain West",2014,10.2524
"Jake Ryan","LB","SO","Michigan","Big Ten",2012,10.251
"Bené Benwikere","DB","JR","San Jose State","WAC",2012,10.2508
"Geno Stone","DB","JR","Iowa","Big Ten",2019,10.2427
"Kavon Frazier","DB","SR","Central Michigan","MAC",2015,10.2412
"Gionni Paul","LB","SR","Utah","Pac-12",2015,10.2409
"Jay Dudley","LB","SR","Louisiana Tech","WAC",2011,10.24
"Demarcus Lawrence","DL","JR","Boise State","Mountain West",2013,10.2312
"Darius West","DB","SR","Kentucky","SEC",2018,10.2303
"Nate Landman","LB","SO","Colorado","Pac-12",2018,10.2084
"Mike Taylor","LB","JR","Wisconsin","Big Ten",2011,10.2074
"Dalvin Tomlinson","DL","SR","Alabama","SEC",2016,10.2053
"Kai Nacua","DB","JR","BYU","Independent",2015,10.2051
"Bradley Chubb","DL","JR","North Carolina State","ACC",2016,10.2
"Lairamie Lee","DB","JR","North Texas","CUSA",2013,10.1968
"Kyler Fackrell","LB","FR","Utah State","WAC",2012,10.1901
"Chris Jones","DL","SR","Bowling Green","MAC",2012,10.187
"Derrick Brown","DL","SR","Auburn","SEC",2019,10.182
"Akileis Leroy","LB","JR","FAU","CUSA",2019,10.1775
"Maxx Crosby","DL","SO","Eastern Michigan","MAC",2017,10.1772
"Derek Wolfe","DL","SR","Cincinnati","Big East",2011,10.1757
"Chris Hackett","DB","JR","TCU","Big 12",2014,10.172
"Will Sutton","DL","JR","Arizona State","Pac-12",2012,10.1701
"Dean Lowry","DL","SR","Northwestern","Big Ten",2015,10.1694
"Kevin Byard","DB","SO","Middle Tennessee","CUSA",2013,10.1687
"Tahir Whitehead","LB","SR","Temple","MAC",2011,10.1684
"Sam Acho","DL","SR","Texas","Big 12",2010,10.1594
"Tarris Batiste","DB","SR","Georgia State","Sun Belt",2015,10.1582
"Ronnie Harrison","DB","JR","Alabama","SEC",2017,10.154
"Johnathan Ford","DB","JR","Auburn","SEC",2015,10.1368
"Javon Harris","DB","SR","Oklahoma","Big 12",2012,10.1361
"Randy Gregory","DL","SO","Nebraska","Big Ten",2013,10.1336
"Yetur Gross-Matos","DL","SO","Penn State","Big Ten",2018,10.1227
"Paddy Fisher","LB","FR","Northwestern","Big Ten",2017,10.1212
"Youhanna Ghaifan","DL","SO","Wyoming","Mountain West",2017,10.1204
"Gregory Rousseau","DL","FR","Miami (FL)","ACC",2019,10.1204
"Adrian McDonald","DB","SR","Houston","American",2015,10.1151
"Levi Wallace","DB","SR","Alabama","SEC",2017,10.1148
"Kyle Queiro","DB","SR","Northwestern","Big Ten",2017,10.1135
"Grant Delpit","DB","SO","LSU","SEC",2018,10.1011
"Ezekiel Ansah","LB","SR","BYU","Independent",2012,10.1005
"Nigel Bradham","LB","SR","Florida State","ACC",2011,10.09
"Steven Taylor","LB","JR","Houston","American",2015,10.0848
"Leonard Williams","DL","SO","USC","Pac-12",2013,10.0835
"C.J. Mosley","LB","SR","Alabama","SEC",2013,10.0798
"Joe Bachie","LB","JR","Michigan State","Big Ten",2018,10.0756
"Chandler Jones","DL","JR","Syracuse","Big East",2010,10.0741
"DeForest Buckner","DL","JR","Oregon","Pac-12",2014,10.0734
"Gelen Robinson","DL","SR","Purdue","Big Ten",2017,10.0598
"Trevon Stewart","DB","SO","Houston","American",2013,10.0568
"Darron Lee","LB","SO","Ohio State","Big Ten",2015,10.0562
"Derek Barnett","DL","FR","Tennessee","SEC",2014,10.0558
"Anthony Hitchens","LB","SR","Iowa","Big Ten",2013,10.0526
"Preston Smith","DL","SR","Mississippi State","SEC",2014,10.047
"Zeke Motta","DB","SR","Notre Dame","Independent",2012,10.0378
"Winston Fraser","LB","JR","FIU","Sun Belt",2011,10.0366
"Tyler Matakevich","LB","JR","Temple","American",2014,10.0356
"Terrance Plummer","LB","JR","UCF","American",2013,10.0299
"Taylor Hart","DL","SR","Oregon","Pac-12",2013,10.0276
"Julian Love","DB","SO","Notre Dame","Independent",2017,10.0265
"Elijah Riley","DB","SR","Army","Independent",2019,10.0231
"Caleb Lavey","LB","SR","Oklahoma State","Big 12",2013,10.0223
"Gerald Hodges","LB","JR","Penn State","Big Ten",2011,10.0129
"Mat Boesen","DL","SR","TCU","Big 12",2017,10.0125
"Ronnie Harrison","DB","SO","Alabama","SEC",2016,9.9872
"Rick Ricketts","DL","SR","Air Force","Mountain West",2010,9.987
"Nick Perry","DL","JR","USC","Pac-12",2011,9.9848
"Chase Hansen","DB","SO","Utah","Pac-12",2016,9.9835
"Azeem Victor","LB","SO","Washington","Pac-12",2015,9.9779
"Barkevious Mingo","DL","SO","LSU","SEC",2011,9.9738
"Terell Floyd","DB","JR","Louisville","American",2013,9.9737
"Anthony Walker, Jr.","LB","JR","Northwestern","Big Ten",2016,9.9655
"Quin Blanding","DB","SR","Virginia","ACC",2017,9.963
"David Amerson","DB","SO","North Carolina State","ACC",2011,9.9624
"Josh Jones","DB","JR","North Carolina State","ACC",2016,9.9616
"Cameron Jordan","DL","SR","California","Pac-10",2010,9.9607
"Vinny Curry","DL","SR","Marshall","CUSA",2011,9.9542
"Karl Klug","DL","SR","Iowa","Big Ten",2010,9.9541
"Marquel Lee","LB","SR","Wake Forest","ACC",2016,9.9529
"Cordarro Law","DL","SR","Southern Miss","CUSA",2011,9.9411
"Chris Orr","LB","SR","Wisconsin","Big Ten",2019,9.9357
"Connor Strachan","LB","SO","Boston College","ACC",2015,9.9225
"Devin White","LB","JR","LSU","SEC",2018,9.9202
"Colin Schooler","LB","SO","Arizona","Pac-12",2018,9.9188
