Player,Pos,Class,School,Conference,Year,Passing,Rushing,Receiving,Total
Deuce Wallace,QB,JR,Vanderbilt,SEC,2019,0.263767044,-0.050446987,,0.213320057
Caleb Twyford,WR,FR,Texas State,Sun Belt,2017,,0.016212578,0.197038902,0.21325148
Josiah Monroe,WR,SR,UTSA,CUSA,2014,,,0.213226698,0.213226698
Hunter Jarmon,WR,JR,Oregon State,Pac-12,2016,,,0.213214959,0.213214959
Demario Kohn,RB,SO,Air Force,Mountain West,2012,,0.213180844,,0.213180844
Sean Avant,WR,SO,Syracuse,ACC,2015,0,,0.213180021,0.213180021
Jared Golden,RB,SO,Cincinnati,American,2013,,,0.213172736,0.213172736
Russell Bellomy,QB,FR,Michigan,Big Ten,2012,0.128559474,0.084308572,,0.212868046
Wayne Younger,QB,SR,FIU,Sun Belt,2010,0.160901059,0.051949036,,0.212850095
Christoph Henle,TE,FR,Baylor,Big 12,2018,,,0.212849073,0.212849073
Chris Sharp,RB,JR,Virginia,ACC,2018,,0.033118898,0.17968055,0.212799448
Trenard Davis,WR,SR,Illinois,Big Ten,2019,0,,0.21268479,0.21268479
Malcolm Culmer,WR,FR,Maryland,ACC,2013,,,0.212651715,0.212651715
Chance Thrasher,QB,SO,Coastal Carolina,Sun Belt,2017,0.100171276,0.112473447,,0.212644723
Chase Rogers,TE,SO,Louisiana,Sun Belt,2018,,,0.212361693,0.212361693
Jared Cornelius,WR,SR,Arkansas,SEC,2017,,,0.212292645,0.212292645
Travis Homer,RB,FR,Miami (FL),ACC,2016,,0.212203995,,0.212203995
Tim Erjavec,TE,SO,Kent State,MAC,2011,,,0.212164928,0.212164928
Brad Nortman,ST,JR,Wisconsin,Big Ten,2010,,0.212128766,,0.212128766
Joshua Tapscott,RB,SO,Wyoming,Mountain West,2015,,0.183822197,0.028298826,0.212121023
Taylor Davis,QB,SO,Idaho,WAC,2011,0.241046534,-0.02902868,,0.212017854
Osmond Nicholas,WR,SO,San Diego State,Mountain West,2011,,,0.21200027,0.21200027
James Gillum,RB,JR,Minnesota,Big Ten,2012,,0.211906345,,0.211906345
Gary Haynes,WR,SO,Louisiana,Sun Belt,2016,,0.015942287,0.195955279,0.211897566
Christian Hosley,RB,JR,North Texas,CUSA,2018,,0.091880586,0.119847182,0.211727768
Josh Aganon,WR,JR,New Mexico State,Sun Belt,2017,,,0.21166246,0.21166246
Nate Terry,TE,FR,FAU,CUSA,2014,,,0.21164345,0.21164345
Bo Hardy,RB,JR,Ohio,MAC,2015,,0.211558019,,0.211558019
Ajene Harris,WR,FR,USC,Pac-12,2014,0,,0.211460505,0.211460505
Danny Friend,TE,JR,Indiana,Big Ten,2016,,,0.21145985,0.21145985
Sam Seonbuchner,TE,SR,Iowa State,Big 12,2018,,,0.211384945,0.211384945
Isaiah Sweeney,WR,JR,Houston,CUSA,2011,,,0.211381066,0.211381066
Kenny Bias,WR,SR,UTSA,CUSA,2015,,0.035209037,0.176171188,0.211380225
Kevin Newsome,QB,JR,Temple,Big East,2012,0,0.211341658,,0.211341658
Chris Bynes,WR,JR,North Texas,Sun Belt,2010,,,0.211276128,0.211276128
Shai McKenzie,RB,SO,Virginia Tech,ACC,2015,,0.211274901,,0.211274901
Julian Shankle,RB,JR,Louisiana,Sun Belt,2010,,0.167554532,0.043718492,0.211273024
Deandre Johnson,QB,SO,FAU,CUSA,2017,0.019215795,0.192025603,,0.211241398
Mick Assaf,RB,SR,Notre Dame,Independent,2019,,0.211234463,,0.211234463
Kenny Bassett,RB,JR,Oregon,Pac-12,2013,,0.211055559,,0.211055559
Merek Pierce,RB,JR,SMU,American,2018,,0.211008771,,0.211008771
Jahmaal Daniel,RB,SR,Navy,American,2017,,0.210851402,,0.210851402
Dervon Wallace,WR,JR,Western Michigan,MAC,2010,,,0.210743715,0.210743715
John Goodlett,WR,SR,Oklahoma State,Big 12,2013,,,0.210719175,0.210719175
Jerry Johnson,WR,SO,UCLA,Pac-10,2010,,,0.210709675,0.210709675
Jake Jackson,TE,SO,Utah,Pac-12,2017,,,0.210673737,0.210673737
Josh Burrell,RB,FR,Houston,American,2016,,0.210621446,,0.210621446
Matt Johnson,QB,FR,Bowling Green,MAC,2012,0.152381774,0.05820459,,0.210586364
Robby Wells III,TE,SR,Rice,CUSA,2017,,0.007056531,0.203508449,0.21056498
Brandon Colon,WR,SO,Navy,American,2015,,0.145485648,0.06504434,0.210529988
Ross Metheny,QB,FR,Virginia,ACC,2010,0.236973355,-0.026477213,,0.210496142
Hayden Tippett,RB,SO,Army,Independent,2011,,0.210223237,,0.210223237
Stephen Fraser,RB,FR,Army,Independent,2011,,0.210223237,,0.210223237
Joshua Atkinson,WR,FR,Tulsa,CUSA,2013,,,0.210168629,0.210168629
Dylan Keeney,TE,FR,Colorado,Pac-12,2015,,,0.210128237,0.210128237
Sihiem King,RB,SR,Kentucky,SEC,2018,,0.210088408,,0.210088408
Marcus Allen,RB,SR,Georgia Tech,ACC,2016,,0.209993804,,0.209993804
Jaymar Parrish,RB,FR,Pittsburgh,ACC,2013,,0.036747647,0.173169717,0.209917364
Robert Rose,RB,SO,Kansas State,Big 12,2011,,0.209829136,,0.209829136
Colby Suits,QB,FR,Louisiana-Monroe,Sun Belt,2019,0.154249351,0.055560395,,0.209809746
C.J. Tolbert,RB,SR,Auburn,SEC,2018,,0.209809549,,0.209809549
Erique Geiger,RB,SO,Bowling Green,MAC,2011,,0.172400911,0.037383004,0.209783915
Kyle Slavin,TE,JR,Colorado,Pac-12,2013,,,0.209773996,0.209773996
Quinten Parker,TE,SO,Army,Independent,2016,,,0.209706525,0.209706525
Brandon Allen,QB,FR,Arkansas,SEC,2012,0.217030901,-0.007387026,,0.209643875
